2025-04-16 23:39:36,704 - ERROR - [ERROR] 提取文本失败: [Errno 2] No such file or directory: '../data/esg_reports_pdf/Eli Lilly and Company_2020_esg.pdf'
2025-04-16 23:41:20,298 - INFO - [✅] 成功提取：Eli Lilly and Company_2020_esg
2025-04-16 23:41:20,298 - INFO - [📄] 文本输出至：D:\其他\Project5105\strc\data\esg_extract_txt\Eli Lilly and Company_2020_esg_text.txt
2025-04-16 23:41:20,298 - INFO - [📊] 表格输出至：D:\其他\Project5105\strc\data\esg_extract_table\Eli Lilly and Company_2020_esg_tables.json
2025-04-17 00:42:08,130 - INFO - [✅] 成功提取：Eli Lilly and Company_2019_esg
2025-04-17 00:42:08,130 - INFO - [📄] 文本输出至：D:\其他\Project5105\strc\data\esg_extract_text_txt\Eli Lilly and Company_2019_esg_text.txt
2025-04-17 00:42:08,130 - INFO - [📊] 表格输出至：D:\其他\Project5105\strc\data\esg_extract_table_json\Eli Lilly and Company_2019_esg_tables.json
2025-04-17 00:53:31,997 - INFO - [✅] 成功提取：Eli Lilly and Company_2019_esg
2025-04-17 00:53:31,997 - INFO - [📄] 文本输出至：D:\其他\Project5105\strc\data\esg_extract_text_txt\Eli Lilly and Company_2019_esg_text.txt
2025-04-17 00:53:31,997 - INFO - [📊] 表格输出至：D:\其他\Project5105\strc\data\esg_extract_table_json\Eli Lilly and Company_2019_esg_tables.json
2025-04-17 00:54:50,221 - INFO - [✅] 成功提取：Eli Lilly and Company_2019_esg
2025-04-17 00:54:50,221 - INFO - [📄] 文本输出至：D:\其他\Project5105\data\esg_extract_text_txt\Eli Lilly and Company_2019_esg_text.txt
2025-04-17 00:54:50,221 - INFO - [📊] 表格输出至：D:\其他\Project5105\data\esg_extract_table_json\Eli Lilly and Company_2019_esg_tables.json
2025-04-17 02:45:24,764 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,765 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,765 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,766 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,767 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,769 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,769 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,772 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,772 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,773 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,773 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,774 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,774 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,775 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-17 02:45:24,775 - WARNING - CropBox missing from /Page, defaulting to MediaBox
